Order_ID,Supplier_Name,Product_Name,Order_Quantity,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Unit_Cost,Total_Cost,Currency,Shipment_Method,Shipment_Status,Warehouse_Location,Inventory_Level,Reorder_Level,Lead_Time_Days,Delay_Days,Quality_Check,Returned_Quantity,Supplier_Rating,Payment_Terms,Payment_Status,Order_Priority,Currency_Conversion_Rate,Supplier_Contact
ORD100029,Acme Corp.,Electronic Components,10,1/15/2024,1/25/2024,26/02/2024,250.22,43070.6,EUR,Air,Delayed,Miami,50,5,3,1,Passed,1,3,Net 60,Unpaid,Low,1,-1788
ORD100030,Acme Corp.,Plastic Sheets,200,15/02/2024,1/25/2024,26/02/2024,250.22,43070.6,USD,Air,Cancelled,Los Angeles,0,15,10,2,Failed,1,1,COD,Pending,High,0.86,-1503
ORD100031,Sunrise Traders,Industrial Paint,10,1/15/2024,4/15/2024,2024.03.22,86.51,865.1,USD,Rail,Cancelled,New York,20,10,10,2,Passed,2,1,Net 30,Paid,Low,0.75,-1788
ORD100032,Sunrise Traders,Industrial Paint,50,2024.03.10,,26/02/2024,250.22,43070.6,EUR,Rail,In Transit,New York,10,10,5,2,Passed,2,3,Net 30,Paid,High,1,-1503
ORD100033,Nova Supply Co.,Electronic Components,200,1/15/2024,,1/24/2024,250.22,43070.6,EUR,Sea,In Transit,New York,50,10,3,2,Passed,2,3,Net 30,Unpaid,High,0.85,-1503
ORD100034,Prime Logistics,Plastic Sheets,200,1/15/2024,4/15/2024,2024.03.22,482.87,96574,EUR,Sea,Pending,New York,20,10,7,5,Failed,0,5,COD,Unpaid,High,1,-1788
ORD100035,Nova Supply Co.,Packaging Boxes,167,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,USD,Sea,Shipped,New York,10,10,10,0,Passed,1,2,COD,Paid,Low,0.85,-1788
ORD100036,Nova Supply Co.,Plastic Sheets,50,15/02/2024,,1/24/2024,250.22,43070.6,EUR,Rail,Delayed,New York,100,10,3,2,Passed,1,1,COD,Unpaid,Low,1,-1788
ORD100037,Prime Logistics,Electronic Components,10,4/5/2024,1/25/2024,1/24/2024,250.22,43070.6,EUR,Air,Shipped,Houston,20,20,3,2,Failed,1,3,COD,Unpaid,High,0.86,-1210
ORD100038,Prime Logistics,Copper Wire,200,2024.03.10,25/02/2024,26/02/2024,250.22,43070.6,EUR,Rail,shipped,Chicago,10,10,3,1,Passed,1,3,COD,Paid,High,0.85,-1210
ORD100039,Sunrise Traders,Industrial Paint,500,4/5/2024,2024.03.20,26/02/2024,220.92,110460,USD,Sea,Shipped,New York,36,15,7,2,Passed,1,3,Net 30,Pending,High,0.85,-1210
ORD100040,Prime Logistics,Steel Rods,500,1/15/2024,2024.03.20,26/02/2024,250.22,43070.6,EUR,Sea,Pending,Houston,100,15,6,5,Passed,1,2,COD,Paid,Medium,0.86,-1503
ORD100041,Nova Supply Co.,Copper Wire,10,4/5/2024,1/25/2024,26/02/2024,248.35,2483.5,USD,Sea,shipped,Los Angeles,100,15,6,5,Passed,0,5,Net 60,Paid,Low,0.86,-1503
ORD100042,Acme Corp.,Industrial Paint,200,1/15/2024,,2024.03.22,250.22,43070.6,USD,Rail,Pending,Miami,0,15,3,0,Passed,1,2,Net 60,Unpaid,High,0.86,-1210
ORD100043,Global Supplies Inc.,Copper Wire,50,1/15/2024,2024.03.20,2024.03.22,454.8,22740,USD,Air,Delivered,New York,10,5,6,1,Failed,1,4,COD,Paid,Medium,1,-1210
ORD100044,Nova Supply Co.,Copper Wire,200,1/15/2024,1/25/2024,26/02/2024,250.22,43070.6,USD,Sea,In Transit,Houston,100,15,3,5,Failed,0,3,Net 30,Paid,Low,1,-1503
ORD100045,Blue Ocean Ltd.,Plastic Sheets,167,15/02/2024,,2024.03.22,331.77,43070.6,USD,Sea,shipped,New York,36,10,5,5,Failed,2,2,COD,Paid,High,0.86,-1788
ORD100046,Blue Ocean Ltd.,Electronic Components,167,2024.03.10,4/15/2024,1/24/2024,250.22,43070.6,USD,Rail,In Transit,New York,36,10,6,0,Passed,2,5,COD,Paid,Low,0.86,-1503
ORD100047,Blue Ocean Ltd.,Industrial Paint,50,2024.03.10,1/25/2024,1/24/2024,260.75,13037.5,EUR,Road,shipped,Los Angeles,10,10,5,0,Passed,2,1,COD,Unpaid,High,1,-1503
ORD100048,Blue Ocean Ltd.,Industrial Paint,200,15/02/2024,2024.03.20,1/24/2024,250.22,43070.6,USD,Air,Shipped,New York,0,15,5,5,Passed,2,4,COD,Unpaid,Low,0.75,-1210
ORD100049,Blue Ocean Ltd.,Steel Rods,50,4/5/2024,1/25/2024,1/24/2024,250.22,43070.6,EUR,Air,Delayed,New York,100,10,3,2,Passed,1,4,COD,Pending,Low,1,-1210
ORD100050,Sunrise Traders,Steel Rods,50,1/15/2024,,26/02/2024,484.84,24242,USD,Sea,In Transit,New York,36,10,10,2,Passed,1,4,Net 30,Paid,High,0.86,-1788
ORD100051,Global Supplies Inc.,Industrial Paint,500,1/15/2024,1/25/2024,2024.03.22,250.22,43070.6,EUR,Sea,Delayed,Houston,36,15,5,2,Passed,1,1,COD,Paid,Medium,0.75,-1788
ORD100052,Blue Ocean Ltd.,Rubber Tires,167,4/5/2024,,2024.03.22,250.22,43070.6,USD,Sea,In Transit,Chicago,36,15,6,0,Failed,1,2,Net 30,Paid,Low,0.75,-1788
ORD100053,Global Supplies Inc.,Packaging Boxes,167,1/15/2024,1/25/2024,1/24/2024,250.22,43070.6,USD,Air,shipped,New York,36,10,3,0,Passed,0,1,COD,Paid,High,0.75,-1210
ORD100054,Global Supplies Inc.,Plastic Sheets,200,4/5/2024,2024.03.20,1/24/2024,299.55,59910,USD,Sea,shipped,Houston,20,10,5,2,Failed,2,5,COD,Paid,High,0.86,-1503
ORD100055,Blue Ocean Ltd.,Electronic Components,10,4/5/2024,,26/02/2024,250.22,43070.6,USD,Road,In Transit,New York,0,5,6,2,Passed,1,1,Net 30,Paid,Low,1,-1788
ORD100056,Acme Corp.,Industrial Paint,500,15/02/2024,25/02/2024,26/02/2024,250.22,43070.6,USD,Sea,Pending,Miami,36,15,3,2,Failed,2,2,COD,Paid,High,0.86,-1503
ORD100057,Prime Logistics,Steel Rods,100,15/02/2024,2024.03.20,4/18/2024,99.2,9920,USD,Sea,Pending,New York,50,20,5,5,Failed,1,4,COD,Paid,Low,0.85,-1503
ORD100058,Acme Corp.,Rubber Tires,167,1/15/2024,4/15/2024,1/24/2024,24.05,43070.6,USD,Rail,shipped,Houston,20,10,10,0,Passed,1,3,COD,Paid,Medium,0.85,-1210
ORD100059,Acme Corp.,Copper Wire,500,1/15/2024,,4/18/2024,163.68,81840,EUR,Sea,In Transit,New York,0,10,6,0,Failed,0,1,Net 60,Paid,Medium,1,-1210
ORD100060,Nova Supply Co.,Industrial Paint,167,1/15/2024,4/15/2024,4/18/2024,195.26,43070.6,USD,Road,Delayed,Miami,0,10,6,5,Failed,1,3,Net 60,Unpaid,High,0.85,-1503
ORD100061,Acme Corp.,Industrial Paint,50,1/15/2024,25/02/2024,1/24/2024,136.77,6838.5,USD,Sea,Delayed,New York,20,15,3,2,Passed,0,3,COD,Unpaid,High,0.75,-1210
ORD100062,Nova Supply Co.,Industrial Paint,10,15/02/2024,2024.03.20,1/24/2024,414.63,4146.3,USD,Sea,Delivered,New York,36,15,7,0,Passed,1,3,Net 30,Paid,Medium,0.86,-1503
ORD100063,Global Supplies Inc.,Industrial Paint,10,15/02/2024,25/02/2024,1/24/2024,250.22,43070.6,EUR,Air,In Transit,New York,10,15,7,2,Passed,1,1,COD,Unpaid,High,1,-1788
ORD100064,Nova Supply Co.,Electronic Components,167,4/5/2024,4/15/2024,1/24/2024,250.22,43070.6,USD,Sea,Pending,Los Angeles,36,10,3,2,Passed,2,4,COD,Unpaid,Medium,0.86,-1788
ORD100065,Acme Corp.,Electronic Components,50,4/5/2024,25/02/2024,2024.03.22,272.03,13601.5,USD,Sea,Shipped,Miami,10,10,10,2,Passed,1,4,Net 60,Pending,High,0.86,-1210
ORD100066,Global Supplies Inc.,Packaging Boxes,200,1/15/2024,2024.03.20,4/18/2024,71.75,14350,EUR,Sea,Delivered,Los Angeles,100,10,5,2,Passed,1,4,Net 60,Pending,High,0.75,-1210
ORD100067,Nova Supply Co.,Rubber Tires,100,4/5/2024,,1/24/2024,250.22,43070.6,USD,Sea,Delivered,New York,10,10,5,5,Failed,1,5,Net 60,Unpaid,High,0.85,-1788
ORD100068,Nova Supply Co.,Industrial Paint,10,4/5/2024,25/02/2024,2024.03.22,250.22,43070.6,EUR,Air,Cancelled,New York,36,10,6,2,Passed,1,5,COD,Pending,High,0.86,-1210
ORD100069,Prime Logistics,Industrial Paint,10,15/02/2024,25/02/2024,1/24/2024,493.46,4934.6,USD,Air,Delayed,Chicago,0,10,7,2,Failed,0,4,Net 60,Pending,Low,0.85,-1788
ORD100070,Prime Logistics,Electronic Components,500,1/15/2024,2024.03.20,4/18/2024,386.46,193230,USD,Air,In Transit,Los Angeles,50,5,7,5,Passed,1,1,COD,Paid,High,0.86,-1503
ORD100071,Global Supplies Inc.,Steel Rods,50,1/15/2024,,1/24/2024,250.22,43070.6,USD,Sea,In Transit,Los Angeles,20,10,7,5,Passed,1,5,Net 30,Paid,High,0.75,-1210
ORD100072,Global Supplies Inc.,Industrial Paint,10,1/15/2024,1/25/2024,1/24/2024,4.25,42.5,USD,Rail,Cancelled,Chicago,10,20,7,2,Passed,1,5,COD,Paid,High,0.85,-1503
ORD100073,Global Supplies Inc.,Plastic Sheets,167,1/15/2024,25/02/2024,26/02/2024,250.22,43070.6,USD,Sea,Delivered,Miami,50,10,7,0,Failed,2,3,Net 60,Paid,High,0.75,-1210
ORD100074,Global Supplies Inc.,Industrial Paint,50,1/15/2024,2024.03.20,1/24/2024,353.87,17693.5,USD,Sea,In Transit,Miami,100,15,3,1,Passed,2,1,Net 30,Unpaid,Low,0.86,-1788
ORD100075,Nova Supply Co.,Copper Wire,100,4/5/2024,1/25/2024,2024.03.22,250.22,43070.6,USD,Road,Delayed,Miami,100,10,6,2,Passed,1,1,Net 30,Unpaid,Medium,1,-1210
ORD100076,Sunrise Traders,Industrial Paint,50,2024.03.10,25/02/2024,26/02/2024,385.98,19299,USD,Sea,Delayed,Houston,50,5,10,2,Passed,2,2,COD,Paid,Low,0.75,-1503
ORD100077,Prime Logistics,Steel Rods,200,4/5/2024,25/02/2024,4/18/2024,250.22,43070.6,USD,Air,Delivered,Miami,36,15,3,0,Passed,1,3,Net 30,Paid,High,1,-1503
ORD100078,Nova Supply Co.,Copper Wire,50,4/5/2024,25/02/2024,1/24/2024,250.22,43070.6,EUR,Air,Pending,Los Angeles,10,20,6,2,Failed,1,3,Net 60,Paid,High,1,-1210
ORD100079,Blue Ocean Ltd.,Electronic Components,50,2024.03.10,4/15/2024,2024.03.22,250.22,43070.6,USD,Sea,In Transit,Miami,100,5,3,5,Passed,1,2,Net 60,Paid,Low,0.86,-1210
ORD100080,Acme Corp.,Industrial Paint,167,1/15/2024,25/02/2024,1/24/2024,431.76,43070.6,USD,Sea,Delayed,Los Angeles,0,5,7,1,Passed,1,2,COD,Pending,Low,0.75,-1788
ORD100081,Global Supplies Inc.,Rubber Tires,500,1/15/2024,2024.03.20,2024.03.22,250.22,43070.6,EUR,Air,Pending,Houston,100,5,10,1,Passed,1,2,Net 60,Unpaid,High,1,-1788
ORD100082,Acme Corp.,Steel Rods,167,1/15/2024,1/25/2024,1/24/2024,166.45,43070.6,USD,Rail,In Transit,New York,50,20,5,1,Passed,0,2,Net 30,Unpaid,High,0.85,-1788
ORD100083,Global Supplies Inc.,Industrial Paint,200,15/02/2024,4/15/2024,2024.03.22,250.22,43070.6,USD,Sea,Cancelled,New York,50,10,6,2,Passed,2,5,Net 30,Pending,High,0.75,-1788
ORD100084,Global Supplies Inc.,Copper Wire,200,15/02/2024,1/25/2024,1/24/2024,250.22,43070.6,USD,Sea,Shipped,Chicago,100,10,6,2,Passed,0,3,Net 60,Unpaid,High,0.85,-1788
ORD100085,Sunrise Traders,Industrial Paint,200,4/5/2024,4/15/2024,26/02/2024,163.6,32720,EUR,Sea,In Transit,Chicago,0,15,6,2,Failed,1,5,Net 60,Paid,High,0.85,-1210
ORD100086,Nova Supply Co.,Plastic Sheets,500,1/15/2024,1/25/2024,26/02/2024,365.21,182605,USD,Sea,Shipped,Los Angeles,10,10,3,5,Passed,0,1,Net 60,Unpaid,High,0.85,-1503
ORD100087,Global Supplies Inc.,Industrial Paint,200,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,USD,Sea,Delivered,Los Angeles,100,20,5,5,Passed,1,2,COD,Unpaid,High,0.85,-1503
ORD100088,Sunrise Traders,Rubber Tires,167,1/15/2024,2024.03.20,1/24/2024,250.22,43070.6,USD,Road,Delayed,Houston,0,5,7,0,Passed,1,2,COD,Unpaid,Low,0.75,-1210
ORD100089,Prime Logistics,Rubber Tires,167,1/15/2024,1/25/2024,26/02/2024,250.22,43070.6,USD,Rail,In Transit,New York,10,10,3,1,Passed,2,5,COD,Paid,Medium,0.85,-1210
ORD100090,Sunrise Traders,Plastic Sheets,50,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,EUR,Sea,Delivered,Los Angeles,0,10,6,2,Passed,1,3,COD,Paid,High,0.86,-1788
ORD100091,Blue Ocean Ltd.,Plastic Sheets,50,4/5/2024,2024.03.20,4/18/2024,357.05,17852.5,EUR,Air,Shipped,New York,20,5,5,2,Failed,0,2,COD,Unpaid,Low,1,-1788
ORD100092,Prime Logistics,Steel Rods,10,4/5/2024,4/15/2024,1/24/2024,250.22,43070.6,USD,Road,Delivered,Chicago,20,10,6,2,Passed,2,1,Net 30,Paid,High,0.86,-1788
ORD100093,Prime Logistics,Industrial Paint,10,15/02/2024,,4/18/2024,250.22,43070.6,USD,Air,Delivered,Chicago,100,10,10,5,Passed,2,2,COD,Pending,Low,0.75,-1503
ORD100094,Blue Ocean Ltd.,Rubber Tires,500,2024.03.10,,1/24/2024,250.22,43070.6,EUR,Air,Delivered,Miami,0,5,7,5,Passed,1,2,COD,Paid,High,0.75,-1788
ORD100095,Nova Supply Co.,Industrial Paint,200,1/15/2024,25/02/2024,26/02/2024,247.66,49532,USD,Sea,Delayed,Chicago,20,10,6,2,Passed,2,3,Net 60,Paid,High,0.86,-1788
ORD100096,Blue Ocean Ltd.,Copper Wire,50,2024.03.10,25/02/2024,2024.03.22,262.08,13104,USD,Rail,Shipped,New York,36,20,6,5,Passed,1,5,Net 60,Paid,Medium,1,-1788
ORD100097,Sunrise Traders,Rubber Tires,200,4/5/2024,2024.03.20,4/18/2024,214.63,42926,USD,Road,Shipped,Chicago,50,20,6,2,Passed,1,4,COD,Pending,Medium,0.85,-1210
ORD100098,Blue Ocean Ltd.,Copper Wire,100,4/5/2024,1/25/2024,2024.03.22,14.17,1417,USD,Sea,Pending,Los Angeles,50,15,3,2,Failed,1,2,COD,Pending,High,0.86,-1503
ORD100099,Acme Corp.,Packaging Boxes,10,4/5/2024,4/15/2024,2024.03.22,55.28,552.8,EUR,Rail,Cancelled,New York,50,20,3,0,Passed,2,3,Net 30,Paid,Medium,0.86,-1503
ORD100100,Acme Corp.,Packaging Boxes,500,1/15/2024,,4/18/2024,17.17,8585,EUR,Air,Shipped,New York,36,10,10,2,Passed,2,5,Net 30,Unpaid,Medium,0.85,-1210
ORD100101,Nova Supply Co.,Copper Wire,50,4/5/2024,4/15/2024,26/02/2024,318.75,15937.5,USD,Sea,Shipped,Houston,10,15,7,2,Passed,0,5,COD,Pending,Medium,0.85,-1503
ORD100102,Global Supplies Inc.,Copper Wire,10,2024.03.10,1/25/2024,26/02/2024,158.21,1582.1,EUR,Sea,shipped,Chicago,50,10,10,2,Failed,2,4,Net 30,Paid,High,0.86,-1503
ORD100103,Nova Supply Co.,Industrial Paint,10,4/5/2024,4/15/2024,26/02/2024,255.02,2550.2,USD,Road,Pending,Houston,36,15,10,2,Passed,2,4,Net 30,Unpaid,Medium,0.85,-1788
ORD100104,Prime Logistics,Electronic Components,10,15/02/2024,,26/02/2024,453.92,4539.2,EUR,Rail,Delivered,Miami,0,10,7,1,Passed,0,3,Net 30,Paid,Low,0.75,-1503
ORD100105,Global Supplies Inc.,Copper Wire,200,2024.03.10,,1/24/2024,125.77,25154,EUR,Rail,Shipped,New York,0,5,3,2,Passed,1,1,Net 60,Pending,High,0.86,-1503
ORD100106,Prime Logistics,Electronic Components,200,15/02/2024,2024.03.20,4/18/2024,206.08,41216,USD,Road,Delivered,Houston,10,10,5,2,Failed,1,3,Net 60,Pending,High,0.75,-1210
ORD100107,Global Supplies Inc.,Electronic Components,50,2024.03.10,,1/24/2024,250.22,43070.6,EUR,Rail,Delayed,Miami,36,20,6,0,Passed,0,3,COD,Unpaid,Medium,0.86,-1503
ORD100108,Global Supplies Inc.,Industrial Paint,100,2024.03.10,4/15/2024,26/02/2024,115.56,11556,USD,Sea,shipped,New York,36,20,10,2,Failed,1,3,Net 60,Paid,High,0.85,-1210
ORD100109,Nova Supply Co.,Copper Wire,100,2024.03.10,25/02/2024,26/02/2024,250.22,43070.6,USD,Sea,Delivered,New York,50,20,3,1,Passed,1,4,COD,Pending,Low,1,-1503
ORD100110,Prime Logistics,Plastic Sheets,100,4/5/2024,25/02/2024,4/18/2024,145.94,14594,USD,Air,Delivered,Houston,36,20,3,0,Passed,1,5,COD,Pending,High,0.75,-1210
ORD100111,Nova Supply Co.,Packaging Boxes,500,1/15/2024,1/25/2024,26/02/2024,81.87,40935,USD,Rail,shipped,New York,50,15,10,1,Passed,1,3,Net 30,Paid,Low,1,-1503
ORD100112,Prime Logistics,Plastic Sheets,500,1/15/2024,4/15/2024,26/02/2024,464.95,232475,USD,Air,Shipped,New York,0,5,10,2,Passed,1,3,Net 60,Paid,Medium,1,-1503
ORD100113,Nova Supply Co.,Rubber Tires,50,1/15/2024,25/02/2024,26/02/2024,404.35,20217.5,USD,Road,Cancelled,New York,50,5,10,2,Passed,0,3,Net 60,Paid,Medium,0.86,-1788
ORD100114,Nova Supply Co.,Steel Rods,167,1/15/2024,2024.03.20,1/24/2024,250.22,43070.6,EUR,Sea,Shipped,Los Angeles,36,5,7,1,Passed,2,3,COD,Paid,High,0.85,-1503
ORD100115,Acme Corp.,Plastic Sheets,200,1/15/2024,,1/24/2024,250.22,43070.6,USD,Sea,Delivered,Chicago,20,10,6,1,Passed,1,3,COD,Unpaid,Medium,0.75,-1788
ORD100116,Nova Supply Co.,Steel Rods,200,1/15/2024,2024.03.20,4/18/2024,250.22,43070.6,USD,Air,Delayed,Los Angeles,20,10,6,5,Passed,2,3,COD,Unpaid,Medium,0.85,-1788
ORD100117,Blue Ocean Ltd.,Steel Rods,10,1/15/2024,25/02/2024,1/24/2024,94.51,945.1,EUR,Road,Cancelled,New York,100,15,5,0,Failed,0,3,COD,Unpaid,High,1,-1210
ORD100118,Nova Supply Co.,Industrial Paint,10,15/02/2024,25/02/2024,4/18/2024,250.22,43070.6,EUR,Air,In Transit,Chicago,100,10,10,0,Failed,0,1,COD,Pending,High,0.75,-1503
ORD100119,Nova Supply Co.,Plastic Sheets,500,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,USD,Road,Cancelled,New York,50,20,6,1,Passed,1,3,Net 60,Paid,Medium,0.86,-1788
ORD100120,Nova Supply Co.,Plastic Sheets,50,1/15/2024,4/15/2024,1/24/2024,404.01,20200.5,EUR,Sea,Shipped,Chicago,36,15,10,0,Passed,1,3,COD,Pending,Medium,0.85,-1503
ORD100121,Acme Corp.,Copper Wire,167,2024.03.10,4/15/2024,2024.03.22,448.2,43070.6,USD,Sea,Pending,Miami,10,5,5,2,Passed,2,2,COD,Paid,Low,1,-1503
ORD100122,Global Supplies Inc.,Copper Wire,50,2024.03.10,25/02/2024,2024.03.22,250.22,43070.6,USD,Sea,In Transit,Chicago,50,15,10,5,Passed,0,3,COD,Paid,Low,0.85,-1503
ORD100123,Global Supplies Inc.,Plastic Sheets,167,1/15/2024,25/02/2024,1/24/2024,56.36,43070.6,USD,Sea,Delayed,Los Angeles,50,10,6,2,Passed,0,5,COD,Pending,High,0.86,-1503
ORD100124,Sunrise Traders,Rubber Tires,500,1/15/2024,4/15/2024,2024.03.22,115.13,57565,USD,Rail,In Transit,Los Angeles,10,10,5,1,Failed,1,3,Net 30,Paid,High,0.85,-1210
ORD100125,Global Supplies Inc.,Packaging Boxes,200,2024.03.10,1/25/2024,1/24/2024,214.41,42882,EUR,Road,Cancelled,New York,100,15,7,0,Failed,0,5,COD,Paid,High,0.75,-1503
ORD100126,Acme Corp.,Industrial Paint,200,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,USD,Sea,Cancelled,Los Angeles,10,10,3,2,Passed,1,4,Net 60,Pending,High,0.75,-1210
ORD100127,Nova Supply Co.,Packaging Boxes,100,15/02/2024,25/02/2024,2024.03.22,430.57,43057,EUR,Sea,Shipped,Miami,50,15,3,2,Passed,0,2,Net 60,Paid,High,0.85,-1210
ORD100128,Blue Ocean Ltd.,Industrial Paint,100,1/15/2024,1/25/2024,1/24/2024,250.22,43070.6,EUR,Road,Delivered,Miami,50,20,7,0,Passed,2,2,COD,Paid,High,0.85,-1503
